Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
0,0,330621,1,41,1.82,5000,0,0,0,1,8,1,1,0,0,0,0,0,0
1,0,330621,1,41,907.72,15000,900000,2,2,1,0,3,1,2,1,0,0,0,0
2,0,330621,1,55,523.32,10000,560000,2,2,1,0,2,1,1,1,0,0,0,0
3,0,330621,1,41,4812.88,20000,1060000,1,1,0,0,0,0,1,1,0,0,0,0
4,0,330621,0,40,2305.25,20000,0,4,4,0,0,0,0,0,0,0,0,0,0
5,0,330621,1,57,9084.16,20000,0,3,3,1,0,3,1,2,2,1,13964,15,1
6,0,330621,1,45,17299.71,20000,1350000,9,5,1,23,3,1,2,2,0,0,0,0
7,0,330421,0,32,122.24,20000,120000,12,3,1,1,3,1,1,1,0,0,0,0
8,0,330621,0,46,91.82,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,330621,0,35,19.46,10000,320000,1,1,0,0,0,0,20,2,0,0,0,0
10,0,330621,1,46,438.59,4000,300000,6,4,2,519,3,1,1,1,0,0,0,0
11,1,330621,0,39,0.45,50000,0,19,9,9,23698,9,2,11,4,3,10918,9,4
12,0,330621,1,37,453.82,10000,600000,10,9,6,2151,40,2,1,1,0,0,0,0
13,0,330621,1,54,343.74,5000,260000,4,3,0,0,0,0,7,4,0,0,0,0
14,0,330621,1,45,220.5,20000,0,6,4,3,6379,33,1,1,1,2,4582,3,1
15,0,330621,0,31,804.46,10000,0,3,2,1,0,1,1,0,0,0,0,0,0
16,0,522323,0,40,0,20000,0,5,4,0,0,0,0,0,0,0,0,0,0
17,0,330621,1,42,712.52,10000,0,4,3,2,495,6,1,1,1,0,0,0,0
18,0,330621,1,39,882.15,10000,200000,5,4,2,0,2,1,2,2,1,3474,2,1
19,0,330621,1,28,27.54,20000,100000,4,3,1,0,1,1,3,3,0,0,0,0
20,0,330621,1,55,260.25,20000,600000,1,1,1,1419,6,1,1,1,0,0,0,0
21,0,330621,1,52,1108.41,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
22,0,330183,0,35,17114.65,20000,0,2,2,0,0,0,0,0,0,0,0,0,0
23,0,330621,1,43,310.23,5000,200000,2,2,2,2,20,2,2,2,0,0,0,0
24,0,330621,1,44,58775.93,15000,46436.99,7,6,1,176,4,2,0,0,0,0,0,0
25,0,330621,0,30,1318.01,10000,250000,7,5,2,200,4,1,1,1,0,0,0,0
26,0,330621,1,59,1482.57,5000,120000,0,0,0,0,0,0,1,1,0,0,0,0
27,0,330621,1,44,703.29,20000,400000,4,3,1,66,0,0,2,2,1,1,1,1
28,0,330621,1,50,821.28,20000,320000,6,4,3,197,12,1,4,4,0,0,0,0
29,0,411322,1,27,0,5000,0,4,2,0,0,0,0,0,0,0,0,0,0
30,0,330621,1,55,74.81,20000,480000,4,3,1,803,4,1,2,2,1,15491,0,0
31,0,330621,1,47,684.32,10000,0,0,0,0,0,0,0,0,0,1,1,9,7
32,0,330621,1,40,9993.97,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,330621,1,43,53820.27,10000,246250,0,0,0,0,0,0,0,0,0,0,0,0
34,0,330621,1,40,116.03,20000,200000,6,4,2,188,3,1,3,3,0,0,0,0
35,0,330621,0,42,42.64,10000,55203.49,4,3,0,0,0,0,1,1,0,0,0,0
36,0,330621,0,37,105070.55,5000,200000,7,5,5,7441,42,1,3,3,0,0,0,0
37,0,330621,1,49,195.02,5000,250000,3,3,1,0,1,1,2,2,0,0,0,0
38,0,330621,1,46,256.77,20000,400000,9,5,0,0,0,0,1,1,0,0,0,0
39,0,330621,1,41,1340.09,20000,1600000,2,2,0,0,0,0,1,1,0,0,0,0
40,1,330621,1,43,7.53,5000,290000,5,3,3,1505,13,5,1,1,0,0,0,0
41,0,330621,0,35,0,15000,0,7,6,0,0,0,0,0,0,0,0,0,0
42,0,330621,1,26,20.91,5000,0,4,3,0,0,0,0,0,0,0,0,0,0
43,0,330621,0,24,12103.8,10000,182568.88,9,7,0,0,0,0,2,2,0,0,0,0
44,0,330621,0,28,198.57,10000,338199.17,5,4,2,1430,4,1,1,1,0,0,0,0
45,0,330621,1,49,1436.22,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
46,0,330621,1,43,1156.61,10000,300000,2,2,0,0,0,0,2,2,0,0,0,0
47,0,330602,1,31,134517.25,10000,400000,5,3,1,0,2,1,2,2,1,695575,30,3
48,0,330621,1,48,287.95,10000,300000,3,3,2,683,8,3,3,2,2,2680,18,1
49,0,330621,0,50,395.44,10000,0,1,1,0,0,0,0,4,2,0,0,0,0
50,0,330621,1,53,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,330149,0,48,0.08,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
52,0,330621,1,49,9563.91,20000,1500000,3,2,0,0,0,0,3,2,0,0,0,0
53,0,330621,1,38,0,20000,0,9,4,3,7151,28,3,0,0,0,0,0,0
54,0,330621,1,49,563.41,10000,200000,4,3,0,0,0,0,1,1,0,0,0,0
55,0,360121,1,53,1496.44,15000,500000,5,3,0,0,0,0,1,1,0,0,0,0
56,0,330621,1,34,119.99,20000,450000,8,6,5,26007,12,2,4,3,1,10570,6,3
57,0,330621,1,45,18.38,10000,800000,4,3,3,34255,44,7,1,1,1,6567,0,0
58,0,330621,1,44,433.07,20000,250000,2,2,0,0,0,0,1,1,0,0,0,0
59,0,330621,1,37,1.95,10000,0,7,5,2,4504,7,3,1,1,0,0,0,0
60,0,330621,1,56,64.82,10000,100000,1,1,1,529,2,1,1,1,0,0,0,0
